"id","name","vehicle_id","cost_subtype_id","next_service_date","next_service_date-2","date","odometer"
1,"SER/2021/00392",14789,49,"2021-02-28","2021-02-28","2020-10-18",8529
17,"SER/2021/00016",14507,49,"2021-04-19","2021-04-19","2020-12-28",46893
23,"SER/2021/00250",14533,49,"2021-05-07","2021-05-07","2021-01-07",35883
24,"SER/2021/00397",14782,49,"2021-05-10","2021-05-10","2021-01-10",27795
25,"SER/2021/00001",14291,49,"2021-04-17","2021-04-17","2021-01-17",110806
26,"SER/2021/00002",14893,49,"2021-04-17","2021-04-17","2021-01-17",1564
27,"SER/2021/00003",14509,49,"2021-04-17","2021-04-17","2021-01-17",52938
28,"SER/2021/00004",14787,49,"2021-04-17","2021-04-17","2021-01-17",19081
29,NULL,14781,49,"2021-04-17","2021-04-17","2021-01-17",33778
30,"SER/2021/00005",14781,49,"2021-04-17","2021-04-17","2021-01-17",33778
31,"SER/2021/00006",14781,49,"2021-04-18","2021-04-18","2021-01-17",33778
33,"SER/2021/00008",14821,49,"2021-04-18","2021-04-18","2020-10-09",23739
34,"SER/2021/00009",14482,49,"2021-05-28","2021-05-28","2021-01-28",200094
37,"SER/2021/00012",14530,49,"2021-04-18","2021-04-18","2021-01-18",67401
38,"SER/2021/00013",14726,49,"2021-04-18","2021-04-18","2021-01-18",15742
39,"SER/2021/00014",14692,49,"2021-04-19","2021-04-19","2021-01-19",30632
41,"SER/2021/00017",14618,49,"2021-04-20","2021-04-20","2021-01-20",57579
42,"SER/2021/00018",14530,49,"2021-04-20","2021-04-20","2021-01-20",67401
44,"SER/2021/00020",14439,49,"2021-04-20","2021-04-20","2021-01-20",74547
45,"SER/2021/00021",14500,49,"2021-04-20","2021-04-20","2021-01-20",60973
46,"SER/2021/00022",14453,49,"2021-04-20","2021-04-20","2021-01-20",57199
47,"SER/2021/00023",14460,49,"2021-04-21","2021-04-21","2021-01-21",68235
48,"SER/2021/00024",14473,49,"2021-04-21","2021-04-21","2021-01-21",77041
49,"SER/2021/00025",14657,49,"2021-04-21","2021-04-21","2020-11-28",46926
50,"SER/2021/00026",14730,49,"2021-04-21","2021-04-21","2021-01-04",34690
51,"SER/2021/00027",14889,49,NULL,NULL,"2020-12-04",5
53,"SER/2021/00029",14888,49,"2021-02-24","2021-02-24","2020-12-24",5
54,"SER/2021/00030",14729,49,"2021-02-08","2021-02-08","2020-10-08",27368
55,"SER/2021/00031",14477,49,"2021-04-21","2021-04-21","2021-01-21",94889
56,"SER/2021/00032",14527,49,"2021-03-21","2021-03-21","2021-01-21",54568
57,"SER/2021/00033",14458,49,"2021-03-26","2021-03-26","2020-10-26",81413
58,"SER/2021/00034",14265,49,"2021-02-23","2021-02-23","2020-09-14",83306
59,"SER/2021/00035",14677,49,"2021-02-15","2021-02-15","2020-09-15",24549
60,"SER/2021/00036",14879,49,"2020-03-16","2020-03-16","2020-11-16",5
61,"SER/2021/00037",14879,49,"2020-03-16","2020-03-16","2020-11-16",733
62,"SER/2021/00038",14876,49,"2020-03-16","2020-03-16","2020-11-16",681
63,"SER/2021/00039",14868,49,"2021-05-03","2021-05-03","2021-01-03",1033
64,"SER/2021/00040",14884,49,"2021-02-24","2021-02-24","2020-12-24",5
65,"SER/2021/00041",14866,49,"2021-05-03","2021-05-03","2021-01-03",1033
66,"SER/2021/00042",14885,49,"2021-02-26","2021-02-26","2020-12-26",5
67,"SER/2021/00044",14887,49,"2021-02-26","2021-02-26","2020-12-26",5
68,"SER/2021/00046",14873,49,"2021-03-16","2021-03-16","2020-11-16",735
69,"SER/2021/00047",14874,49,"2021-03-16","2021-03-16","2020-11-16",1184
70,"SER/2021/00048",14886,49,"2021-02-26","2021-02-26","2020-12-26",5
71,"SER/2021/00049",14863,49,"2021-03-05","2021-03-05","2021-01-05",1
72,"SER/2021/00050",14877,49,"2021-03-16","2021-03-16","2020-11-16",5
73,"SER/2021/00051",14867,49,"2021-03-16","2021-03-16","2020-11-16",5
74,"SER/2021/00052",14872,49,"2021-03-16","2021-03-16","2020-11-16",710
75,"SER/2021/00053",14871,49,"2021-04-04","2021-04-04","2021-01-04",1583
76,"SER/2021/00054",14870,49,"2020-03-16","2020-03-16","2020-11-16",5
77,"SER/2021/00055",14271,49,"2021-03-03","2021-03-03","2020-12-03",33410
78,"SER/2021/00056",14775,49,"2021-02-25","2021-02-25","2020-10-25",15971
79,"SER/2021/00057",14832,49,"2021-02-16","2021-02-16","2020-10-16",28133
80,"SER/2021/00058",14898,49,"2021-05-18","2021-05-18","2021-01-18",75443
81,"SER/2021/00059",14861,49,"2021-04-05","2021-04-05","2021-01-05",280
82,"SER/2021/00061",14321,49,"2021-03-23","2021-03-23","2020-11-20",40000
83,"SER/2021/00060",14363,49,"2021-04-03","2021-04-03","2021-01-03",55296
84,"SER/2021/00062",14860,49,"2021-04-05","2021-04-05","2021-01-05",1
85,"SER/2021/00063",14485,49,"2021-04-03","2021-04-03","2020-12-03",74070
86,"SER/2021/00065",14857,49,"2021-04-05","2021-04-05","2021-01-05",1
87,"SER/2021/00064",14344,49,NULL,NULL,"2020-09-08",60524
88,"SER/2021/00066",14856,49,"2021-04-05","2021-04-05","2021-01-05",1
89,"SER/2021/00067",14417,49,"2021-02-23","2021-02-23","2020-09-28",32602
90,"SER/2021/00068",14547,49,"2021-03-19","2021-03-19","2020-11-19",43162
91,"SER/2021/00069",14543,49,"2021-03-23","2021-03-23","2020-09-10",21138
92,"SER/2021/00070",14610,49,"2021-02-22","2021-02-22","2020-08-22",25149
93,"SER/2021/00071",14486,49,"2021-02-23","2021-02-23","2020-08-11",23429
94,"SER/2021/00072",14778,49,"2021-03-01","2021-03-01","2020-11-01",61960
95,"SER/2021/00073",14846,49,"2021-04-05","2021-04-05","2021-01-05",1
96,"SER/2021/00074",14821,49,"2021-03-23","2021-03-23","2020-10-19",23739
97,"SER/2021/00075",14847,49,"2021-04-05","2021-04-05","2021-01-05",1
98,"SER/2021/00076",14848,49,"2021-04-05","2021-04-05","2021-01-05",1
99,"SER/2021/00077",14814,49,"2021-03-23","2021-03-23","2020-10-25",17089
100,"SER/2021/00078",14193,49,"2021-03-11","2021-03-11","2020-10-11",21605
101,"SER/2021/00079",14850,49,"2021-04-05","2021-04-05","2021-01-05",1
102,"SER/2021/00080",14328,49,"2021-03-26","2021-03-26","2020-09-26",34441
103,"SER/2021/00081",14851,49,"2021-04-05","2021-04-05","2021-01-05",1
104,"SER/2021/00082",14852,49,"2021-04-05","2021-04-05","2021-01-05",1
105,"SER/2021/00083",14902,49,"2021-03-02","2021-03-02","2020-08-12",19338
106,"SER/2021/00084",14853,49,"2021-04-05","2021-04-05","2021-01-05",1
107,"SER/2021/00085",14896,49,"2021-04-05","2021-04-05","2021-01-05",151
