"name","vehicle_id","date","odometer","next_service_date","next_service_odometer","odometer_diff","state"
"SER/2021/00392",14789,"2020-10-18",8529,"2021-02-28",18529,10000,"done"
"SER/2021/00016",14507,"2020-12-28",46893,"2021-04-19",56893,10000,"done"
"SER/2021/00250",14533,"2021-01-07",35883,"2021-05-07",45883,10000,"done"
"SER/2021/00397",14782,"2021-01-10",27795,"2021-05-10",37795,10000,"done"
"SER/2021/00001",14291,"2021-01-17",110806,"2021-04-17",120806,10000,"done"
"SER/2021/00002",14893,"2021-01-17",1564,"2021-04-17",11564,10000,"done"
"SER/2021/00003",14509,"2021-01-17",52938,"2021-04-17",62938,10000,"done"
"SER/2021/00004",14787,"2021-01-17",19081,"2021-04-17",29081,10000,"done"
NULL,14781,"2021-01-17",33778,"2021-04-17",43778,10000,"done"
"SER/2021/00005",14781,"2021-01-17",33778,"2021-04-17",43778,10000,"done"
"SER/2021/00006",14781,"2021-01-17",33778,"2021-04-18",43778,10000,"done"
"SER/2021/00008",14821,"2020-10-09",23739,"2021-04-18",33739,10000,"done"
"SER/2021/00009",14482,"2021-01-28",200094,"2021-05-28",210094,10000,"done"
"SER/2021/00012",14530,"2021-01-18",67401,"2021-04-18",77401,10000,"done"
"SER/2021/00013",14726,"2021-01-18",15742,"2021-04-18",25742,10000,"done"
"SER/2021/00014",14692,"2021-01-19",30632,"2021-04-19",40632,10000,"done"
"SER/2021/00017",14618,"2021-01-20",57579,"2021-04-20",67579,10000,"done"
"SER/2021/00018",14530,"2021-01-20",67401,"2021-04-20",77401,10000,"done"
"SER/2021/00020",14439,"2021-01-20",74547,"2021-04-20",84547,10000,"done"
"SER/2021/00021",14500,"2021-01-20",60973,"2021-04-20",70973,10000,"done"
"SER/2021/00022",14453,"2021-01-20",57199,"2021-04-20",67199,10000,"done"
"SER/2021/00023",14460,"2021-01-21",68235,"2021-04-21",78235,10000,"done"
"SER/2021/00024",14473,"2021-01-21",77041,"2021-04-21",87041,10000,"done"
"SER/2021/00025",14657,"2020-11-28",46926,"2021-04-21",56926,10000,"done"
"SER/2021/00026",14730,"2021-01-04",34690,"2021-04-21",44690,10000,"done"
"SER/2021/00027",14889,"2020-12-04",5,NULL,1000,995,"done"
"SER/2021/00029",14888,"2020-12-24",5,"2021-02-24",1000,995,"done"
"SER/2021/00030",14729,"2020-10-08",27368,"2021-02-08",31938,4570,"done"
"SER/2021/00031",14477,"2021-01-21",94889,"2021-04-21",104889,10000,"done"
"SER/2021/00032",14527,"2021-01-21",54568,"2021-03-21",64568,10000,"done"
"SER/2021/00033",14458,"2020-10-26",81413,"2021-03-26",84963,3550,"done"
"SER/2021/00034",14265,"2020-09-14",83306,"2021-02-23",88716,5410,"done"
"SER/2021/00035",14677,"2020-09-15",24549,"2021-02-15",25678,1129,"done"
"SER/2021/00036",14879,"2020-11-16",5,"2020-03-16",10000,9995,"done"
"SER/2021/00037",14879,"2020-11-16",733,"2020-03-16",10000,9267,"done"
"SER/2021/00038",14876,"2020-11-16",681,"2020-03-16",10000,9319,"done"
"SER/2021/00039",14868,"2021-01-03",1033,"2021-05-03",2033,1000,"done"
"SER/2021/00040",14884,"2020-12-24",5,"2021-02-24",1000,995,"done"
"SER/2021/00041",14866,"2021-01-03",1033,"2021-05-03",2033,1000,"done"
"SER/2021/00042",14885,"2020-12-26",5,"2021-02-26",1000,995,"done"
"SER/2021/00044",14887,"2020-12-26",5,"2021-02-26",1000,995,"done"
"SER/2021/00046",14873,"2020-11-16",735,"2021-03-16",10000,9265,"done"
"SER/2021/00047",14874,"2020-11-16",1184,"2021-03-16",10000,8816,"done"
"SER/2021/00048",14886,"2020-12-26",5,"2021-02-26",1000,995,"done"
"SER/2021/00049",14863,"2021-01-05",1,"2021-03-05",1000,999,"done"
"SER/2021/00050",14877,"2020-11-16",5,"2021-03-16",10000,9995,"done"
"SER/2021/00051",14867,"2020-11-16",5,"2021-03-16",10000,9995,"done"
"SER/2021/00052",14872,"2020-11-16",710,"2021-03-16",10000,9290,"done"
"SER/2021/00053",14871,"2021-01-04",1583,"2021-04-04",2583,1000,"done"
"SER/2021/00054",14870,"2020-11-16",5,"2020-03-16",10000,9995,"done"
"SER/2021/00055",14271,"2020-12-03",33410,"2021-03-03",42025,8615,"done"
"SER/2021/00056",14775,"2020-10-25",15971,"2021-02-25",27516,11545,"done"
"SER/2021/00057",14832,"2020-10-16",28133,"2021-02-16",31992,3859,"done"
"SER/2021/00058",14898,"2021-01-18",75443,"2021-05-18",85433,9990,"done"
"SER/2021/00059",14861,"2021-01-05",280,"2021-04-05",1000,720,"done"
"SER/2021/00061",14321,"2020-11-20",40000,"2021-03-23",98483,58483,"done"
"SER/2021/00060",14363,"2021-01-03",55296,"2021-04-03",65296,10000,"done"
"SER/2021/00062",14860,"2021-01-05",1,"2021-04-05",1000,999,"done"
"SER/2021/00063",14485,"2020-12-03",74070,"2021-04-03",81146,7076,"done"
"SER/2021/00065",14857,"2021-01-05",1,"2021-04-05",1000,999,"done"
"SER/2021/00064",14344,"2020-09-08",60524,NULL,63233,2709,"done"
"SER/2021/00066",14856,"2021-01-05",1,"2021-04-05",1000,999,"done"
"SER/2021/00067",14417,"2020-09-28",32602,"2021-02-23",39088,6486,"done"
"SER/2021/00068",14547,"2020-11-19",43162,"2021-03-19",50554,7392,"done"
"SER/2021/00069",14543,"2020-09-10",21138,"2021-03-23",27120,5982,"done"
"SER/2021/00070",14610,"2020-08-22",25149,"2021-02-22",25187,38,"done"
"SER/2021/00071",14486,"2020-08-11",23429,"2021-02-23",29788,6359,"done"
"SER/2021/00072",14778,"2020-11-01",61960,"2021-03-01",72087,10127,"done"
"SER/2021/00073",14846,"2021-01-05",1,"2021-04-05",1000,999,"done"
"SER/2021/00074",14821,"2020-10-19",23739,"2021-03-23",33739,10000,"done"
"SER/2021/00075",14847,"2021-01-05",1,"2021-04-05",1000,999,"done"
"SER/2021/00076",14848,"2021-01-05",1,"2021-04-05",1000,999,"done"
"SER/2021/00077",14814,"2020-10-25",17089,"2021-03-23",23509,6420,"done"
"SER/2021/00078",14193,"2020-10-11",21605,"2021-03-11",31222,9617,"done"
"SER/2021/00079",14850,"2021-01-05",1,"2021-04-05",1000,999,"done"
"SER/2021/00080",14328,"2020-09-26",34441,"2021-03-26",41384,6943,"done"
"SER/2021/00081",14851,"2021-01-05",1,"2021-04-05",1000,999,"done"
"SER/2021/00082",14852,"2021-01-05",1,"2021-04-05",1000,999,"done"
"SER/2021/00083",14902,"2020-08-12",19338,"2021-03-02",27479,8141,"done"
"SER/2021/00084",14853,"2021-01-05",1,"2021-04-05",1000,999,"done"
"SER/2021/00085",14896,"2021-01-05",151,"2021-04-05",1000,849,"done"
"SER/2021/00086",14557,"2020-08-13",32827,"2021-03-13",35395,2568,"done"
"SER/2021/00087",14859,"2021-01-05",169,NULL,1000,831,"done"
"SER/2021/00088",14562,"2020-11-23",49258,"2021-03-23",59024,9766,"done"
"SER/2021/00089",14198,"2020-10-20",223498,"2021-03-23",226667,3169,"done"
"SER/2021/00090",14855,"2021-01-05",342,"2021-04-05",1000,658,"done"
"SER/2021/00091",14858,"2021-01-05",80,"2021-04-05",1000,920,"done"
"SER/2021/00092",14383,"2020-07-07",47343,"2021-02-23",55937,8594,"done"
"SER/2021/00093",14747,"2020-09-17",6103,"2021-03-23",14794,8691,"done"
"SER/2021/00094",14745,"2020-09-08",26674,"2021-03-08",32977,6303,"done"
"SER/2021/00095",14748,"2020-09-19",27921,"2021-03-19",37429,9508,"done"
"SER/2021/00096",14567,"2020-08-13",25959,"2021-03-13",34803,8844,"done"
"SER/2021/00097",14750,"2020-09-21",4547,"2021-03-21",13356,8809,"done"
"SER/2021/00098",14749,"2020-09-15",3326,"2021-03-15",12471,9145,"done"
"SER/2021/00099",14282,"2020-11-18",77792,"2020-03-18",87792,10000,"done"
"SER/2021/00100",14283,"2020-09-08",73135,"2020-03-08",83185,10050,"done"
"SER/2021/00101",14286,"2020-12-19",114322,"2021-03-19",124322,10000,"done"
"SER/2021/00102",14287,"2020-09-22",93321,"2021-02-22",100222,6901,"done"
"SER/2021/00103",14288,"2020-12-02",90241,"2021-03-02",100421,10180,"done"
"SER/2021/00104",14289,"2020-11-07",56564,"2021-03-07",62729,6165,"done"
"SER/2021/00105",14290,"2020-11-08",69397,"2021-03-08",79397,10000,"done"
"SER/2021/00106",14291,"2021-01-16",110806,"2021-04-16",120806,10000,"done"
"SER/2021/00107",14292,"2020-12-05",98578,"2021-03-05",108578,10000,"done"
"SER/2021/00108",14295,"2020-10-08",92354,"2021-02-08",102354,10000,"done"
"SER/2021/00109",14296,"2020-07-16",35364,"2021-02-16",43965,8601,"done"
"SER/2021/00110",14297,"2020-12-09",93997,"2021-03-09",103997,10000,"done"
"SER/2021/00111",14298,"2021-01-07",83849,"2021-04-07",93849,10000,"done"
"SER/2021/00112",14299,"2020-11-12",109828,"2021-03-12",116570,6742,"done"
"SER/2021/00113",14322,"2020-08-12",70563,"2021-02-12",79314,8751,"done"
"SER/2021/00115",14428,"2020-08-11",28564,"2021-02-11",31900,3336,"done"
"SER/2021/00116",14370,"2020-12-02",46455,"2021-04-02",56053,9598,"done"
"SER/2021/00117",14361,"2020-12-05",79002,"2021-04-05",89002,10000,"done"
"SER/2021/00118",14301,"2020-06-20",65467,"2021-02-20",69186,3719,"done"
"SER/2021/00119",14312,"2020-07-06",8727,"2021-02-06",52292,43565,"done"
"SER/2021/00120",14525,"2021-01-24",44189,"2021-05-24",54187,9998,"done"
"SER/2021/00121",14666,"2021-01-23",32707,"2021-04-23",42707,10000,"done"
"SER/2021/00122",14721,"2021-01-24",28240,"2021-04-24",38240,10000,"done"
"SER/2021/00123",14552,"2021-01-23",69041,"2021-04-23",79041,10000,"done"
"SER/2021/00124",14717,"2021-01-23",41582,"2021-04-23",51582,10000,"done"
"SER/2021/00125",14685,"2021-01-23",35820,"2021-04-24",45820,10000,"done"
"SER/2021/00126",14674,"2021-01-23",NULL,"2021-04-23",27474,NULL,"done"
"SER/2021/00127",14319,"2020-12-08",111000,"2021-03-08",121000,10000,"done"
"SER/2021/00129",14261,"2020-09-13",78518,"2021-02-13",87061,8543,"done"
"SER/2021/00130",14437,"2020-07-06",4050,"2021-02-01",19882,15832,"done"
"SER/2021/00131",14438,"2020-09-10",34842,"2021-02-10",40634,5792,"done"
"SER/2021/00132",14441,"2020-11-11",29666,"2021-03-11",39666,10000,"done"
"SER/2021/00133",14498,"2020-10-21",59693,"2021-02-21",69693,10000,"done"
